*Date of Rally*,*City*,*State*,*Venue*,*Estimated Visitors*,*Source*,County Name
"Saturday, January 23, 2016",Pella,IA,"Douwstra Auditorium, Central College",400,[71],Marion
"Saturday, January 23, 2016",Sioux Center,IA,"B. J. Haan Auditorium, Dordt College","2,600",[72],Sioux
"Sunday, January 24, 2016",Muscatine,IA,Muscatine High School,"1,000",[73],Muscatine
"Monday, January 25, 2016",Farmington,NH,Farmington Senior High School,"1,000",[74],Strafford
"Tuesday, January 26, 2016",Iowa City,IA,"Iowa Field House, University of Iowa","2,000",[75],Johnson
"Tuesday, January 26, 2016",Marshalltown,IA,"Roundhouse Gymnasium, Marshalltown High School","2,100",[76],Marshall
"Wednesday, January 27, 2016",Gilbert,SC,The Barn at Harmon's,400,[77],Lexington
"Thursday, January 28, 2016",Des Moines,IA,"Sheslow Auditorium, Drake University",700,[78][79][80],Polk
"Friday, January 29, 2016",Nashua,NH,Radisson Hotel Nashua,850,[81],Hillsborough 
"Saturday, January 30, 2016",Clinton,IA,Clinton Middle School,"1,000",[82],Clinton
"Saturday, January 30, 2016",Davenport,IA,Adler Theatre,"2,400",[83],Scott
"Saturday, January 30, 2016",Dubuque,IA,Dubuque Regional Airport,"1,200",[84],Dubuque
"Sunday, January 31, 2016",Council Bluffs,IA,Gerald W. Kirn Middle School,"2,000",[85],Pottawattamie
"Monday, February 1, 2016",Cedar Rapids,IA,DoubleTree Hotel Cedar Rapids Convention Complex,"1,500",[86],Linn
"Monday, February 1, 2016",Waterloo,IA,Ramada Waterloo Hotel and Convention Center,300,[86],Black Hawk
"Tuesday, February 2, 2016",Milford,NH,Hampshire Hills Athletic Club,,[87],Hillsborough 
"Wednesday, February 3, 2016",Little Rock,AR,Barton Coliseum,"11,500",[88],Pulaski
"Thursday, February 4, 2016",Exeter,NH,Exeter Town Hall,,[89],Rockingham
"Thursday, February 4, 2016",Portsmouth,NH,Great Bay Community College,500,[90],Rockingham
"Friday, February 5, 2016",Florence,SC,Florence Civic Center,,[91],Florence
"Sunday, February 7, 2016",Holderness,NH,"ALLWell North, Plymouth State University","2,500",[92],Grafton
"Monday, February 8, 2016",Londonderry,NH,Londonderry Lions Club,200,[93],Rockingham
"Monday, February 8, 2016",Manchester,NH,Verizon Wireless Arena,"5,000",[94],Hillsborough 
"Monday, February 8, 2016",Salem,NH,Derry-Salem Elks Lodge,200,[95],Rockingham
"Wednesday, February 10, 2016",Pendleton,SC,"T. Ed Garrison Arena, Clemson University","5,000",[96],Anderson
"Thursday, February 11, 2016",Baton Rouge,LA,Baton Rouge River Center,"10,000",[97],East Baton Rouge Parish
"Friday, February 12, 2016",Tampa,FL,"USF Sun Dome, University of South Florida","10,000",[98],Hillsborough 
"Monday, February 15, 2016",Greenville,SC,TD Convention Center,,[99],Greenville
"Tuesday, February 16, 2016",Beaufort,SC,Beaufort High School Performing Arts Center,"20,000",[100],Beaufort
"Tuesday, February 16, 2016",North Augusta,SC,Riverview Park Activities Center,"2,000",[101],Aiken
"Wednesday, February 17, 2016",Sumter,SC,Sumter County Civic Center,"4,000",[102],Sumter
"Wednesday, February 17, 2016",Walterboro,SC,Randy and Sara White's farm,"4,000",[103],Colleton
"Thursday, February 18, 2016",Gaffney,SC,Broad River Electric Cooperative,,[104][105],Cherokee
"Thursday, February 18, 2016",Kiawah,SC,"Turtle Point Clubhouse, Kiawah Island Golf Resort",,[106][107],Charleston
"Friday, February 19, 2016",North Charleston,SC,North Charleston Convention Center,"2,000",[108],Charleston
"Friday, February 19, 2016",Myrtle Beach,SC,Myrtle Beach Sports Center,"12,000",[109],Horry
"Friday, February 19, 2016",Pawleys Island,SC,Pawley's Plantation Golf & Country Club,"1,000",[110],Georgetown
"Sunday, February 21, 2016",Atlanta,GA,Georgia World Congress Center,,[111][112],Fulton
"Monday, February 22, 2016",Las Vegas,NV,"South Point Hotel, Casino & Spa",,[113][114],Clark
"Tuesday, February 23, 2016",Sparks,NV,Rose Ballroom,"3,000",[115],Washoe 
"Friday, February 26, 2016",Oklahoma City,OK,Cox Convention Center,"7,000",[116],Oklahoma
"Saturday, February 27, 2016",Highfill,AR,Northwest Arkansas Regional Airport,"5,000",[117],Benton
"Saturday, February 27, 2016",Fort Worth,TX,Fort Worth Convention Center,"8,000",[118],Tarrant
"Saturday, February 27, 2016",Millington,TN,Millington Regional Jetport,"10,000",[119],Shelby
"Sunday, February 28, 2016",Madison,AL,Madison City Schools Stadium,,[120][121],Madison
"Monday, February 29, 2016",Radford,VA,"Dedmon Center, Radford University","3,800",[122][123],Montgomery
"Monday, February 29, 2016",Valdosta,GA,"The Complex, Valdosta State University","7,500",[124],Lowndes
"Tuesday, March 1, 2016",Columbus,OH,Port Columbus International Airport,"4,000",[32],Franklin
"Tuesday, March 1, 2016",Louisville,KY,Kentucky International Convention Center,"5,000",[125],Jefferson 
"Thursday, March 3, 2016",Portland,ME,The Westin Portland Harborview Hotel,"1,100",[126],Cumberland
"Friday, March 4, 2016",Warren,MI,"Sports & Expo Center, Macomb Community College","4,000",[127],Macomb
"Friday, March 4, 2016",Cadillac,MI,Wexford County Civic Center,"3,500",[128],Wexford
"Friday, March 4, 2016",New Orleans,LA,Lakefront Airport,"4,000",[129][130],Orleans Parish
"Saturday, March 5, 2016",Orlando,FL,"CFE Arena, University of Central Florida","10,000",[131][132][133][134][135][136][137],Orange
"Saturday, March 5, 2016",Wichita,KS,Century II Performing Arts & Convention Center,,[138],Sedgwick
"Monday, March 7, 2016",Concord,NC,Cabarrus Arena & Events Center,"3,000",[139],Cabarrus
"Monday, March 7, 2016",Madison,MS,Madison Central High School,"9,000",[140],Madison
"Wednesday, March 9, 2016",Fayetteville,NC,Crown Coliseum,"11,000",[141],Cumberland
"Friday, March 11, 2016",St. Louis,MO,Peabody Opera House,"3,100",[142],St. Louis
"Saturday, March 12, 2016",Cleveland,OH,I-X Center,"29,000",[143],Cuyahoga
"Saturday, March 12, 2016",Dayton,OH,Dayton International Airport,"20,000",[143],Montgomery
"Saturday, March 12, 2016",Kansas City,MO,Midland Theatre,"7,000",[144],Jackson
"Sunday, March 13, 2016",Bloomington,IL,"Synergy Flight Center, Central Illinois Regional Airport","3,000",[145],McLean
"Sunday, March 13, 2016",Boca Raton,FL,"Sunset Cove Amphitheater, Sugar Sand Park","6,000",[146],Palm Beach
"Monday, March 14, 2016",Tampa,FL,Tampa Convention Center,"1,500",[147],Hillsborough 
"Monday, March 14, 2016",Vienna,OH,"Winner Aviation, Youngstown–Warren Regional Airport","2,500",[148],Trumbull
"Friday, March 18, 2016",Salt Lake City,UT,Infinity Event Center,"1,200",[149],Salt Lake
"Saturday, March 19, 2016",Fountain Hills,AZ,Fountain Park,"10,000",[150],Maricopa 
"Saturday, March 19, 2016",Tucson,AZ,Tucson Convention Center,"5,000",[151],Pima
"Tuesday, March 29, 2016",Janesville,WI,Janesville Conference Center,"1,000",[152],Rock
"Wednesday, March 30, 2016",Appleton,WI,Radisson Paper Valley Hotel,"1,000",[153],Outagamie
"Wednesday, March 30, 2016",De Pere,WI,"Byron L. Walter Theatre, St. Norbert College",750,[154],Brown County
"Saturday, April 2, 2016",Eau Claire,WI,Memorial High School,"1,500",[155],Eau Claire
"Saturday, April 2, 2016",Racine,WI,Memorial Hall,"1,200",[156],Racine
